ID,Name,Description,CLTS_ID,CLTS_BIPA,CLTS_Name
kwj_u006Bu02B7u02B2,kʷʲ,,palatalized labialized voiceless velar stop consonant,kʲʷ,palatalized labialized voiceless velar stop consonant
a_u0061u0330,a̰,,creaky unrounded open front vowel,a̰,creaky unrounded open front vowel
ndz_u006Eu0064u0292,ndʒ,,pre-nasalized voiced post-alveolar affricate consonant,ⁿdʒ,pre-nasalized voiced post-alveolar affricate consonant
v_u028B,ʋ,,voiced labio-dental approximant consonant,ʋ,voiced labio-dental approximant consonant
fw_u0066u02B7,fʷ,,labialized voiceless labio-dental fricative consonant,fʷ,labialized voiceless labio-dental fricative consonant
tj_u0074u02B2u02BC,tʲʼ,,palatalized voiceless alveolar ejective stop consonant,tʼʲ,palatalized voiceless alveolar ejective stop consonant
hj_u02B0u025F,ʰɟ,,pre-aspirated voiced palatal stop consonant,ʰɟ,pre-aspirated voiced palatal stop consonant
s_u0073u032A,s̪,,voiceless dental sibilant fricative consonant,s̪,voiceless dental sibilant fricative consonant
ch_u0063u02B0,cʰ,,aspirated voiceless palatal stop consonant,cʰ,aspirated voiceless palatal stop consonant
w_u0077,w,,voiced labio-velar approximant consonant,w,voiced labio-velar approximant consonant
a_u0061u0303u02D0,ãː,,long nasalized unrounded open front vowel,ãː,long nasalized unrounded open front vowel
e_u0065u0330,ḛ,,creaky unrounded close-mid front vowel,ḛ,creaky unrounded close-mid front vowel
_u028C,ʌ,,unrounded open-mid back vowel,ʌ,unrounded open-mid back vowel
n_u006Eu032A,n̪,,voiced dental nasal consonant,n̪,voiced dental nasal consonant
nggw_u014Bu0261u02B7,ŋɡʷ,,pre-nasalized labialized voiced velar stop consonant,ⁿgʷ,pre-nasalized labialized voiced velar stop consonant
ng_u014Bu0325,ŋ̥,,devoiced voiced velar nasal consonant,ŋ̊,devoiced voiced velar nasal consonant
mj_u006Du02B2,mʲ,,palatalized voiced bilabial nasal consonant,mʲ,palatalized voiced bilabial nasal consonant
nts_u006Eu0074u0283,ntʃ,,pre-nasalized voiceless post-alveolar sibilant affricate consonant,ⁿtʃ,pre-nasalized voiceless post-alveolar sibilant affricate consonant
gw_u0263u02B7,ɣʷ,,labialized voiced velar fricative consonant,ɣʷ,labialized voiced velar fricative consonant
hkw_u02B0u006Bu02B7,ʰkʷ,,pre-aspirated labialized voiceless velar stop consonant,ʰkʷ,pre-aspirated labialized voiceless velar stop consonant
o_u0254u0303,ɔ̃,,nasalized rounded open-mid back vowel,ɔ̃,nasalized rounded open-mid back vowel
n_u0272u0330,ɲ̰,,creaky voiced palatal nasal consonant,ɲ̰,creaky voiced palatal nasal consonant
y_u0079,y,,rounded close front vowel,y,rounded close front vowel
jj_u025Fu029D,ɟʝ,,voiced palatal affricate consonant,ɟʝ,voiced palatal affricate consonant
hj_u02B0u006A,ʰj,,pre-aspirated voiced palatal approximant consonant,ʰj,pre-aspirated voiced palatal approximant consonant
q_u0071u02BC,qʼ,,voiceless uvular ejective stop consonant,qʼ,voiceless uvular ejective stop consonant
_u0259u0303,ə̃,,nasalized unrounded mid central vowel,ə̃,nasalized unrounded mid central vowel
i_u0069u0303u02D0,ĩː,,long nasalized unrounded close front vowel,ĩː,long nasalized unrounded close front vowel
t_u0074u033A,t̺,,voiceless apical alveolar stop consonant,t̺,voiceless apical alveolar stop consonant
aj_u0061u02B2,aʲ,,from unrounded open front to ultra-short unrounded close front diphthong,aĭ,from unrounded open front to ultra-short unrounded close front diphthong
n_u0272u02D0,ɲː,,long voiced palatal nasal consonant,ɲː,long voiced palatal nasal consonant
wj_u0077u02B2,wʲ,,palatalized voiced labio-velar approximant consonant,wʲ,palatalized voiced labio-velar approximant consonant
p_u0070u02D0,pː,,long voiceless bilabial stop consonant,pː,long voiceless bilabial stop consonant
