ID	Name	SAPHON_Code	Family	Country
Aymara	Aymara (Central dialect)	ayr	Aymaran	Bolivia, Argentina, Peru, Chile
AymaraC	Aymara (Chilean dialect)	ayr_chl	Aymaran	Chile
Ayoreo	Ayoreo	ayo	Zamucoan	Bolivia, Paraguay
BakairiE	Bakairí (Eastern dialect)	bkq_est	Carib	Brazil
BakairiW	Bakairí (Western dialect)	bkq_wst	Carib	Brazil
Baniwa	Baniwa (Central)	bwi_cen	Arawak	Venezuela, Brazil
Baniva	Baniwa (Rio Negro)	bwi_rng	Arawak	Venezuela
BarasanaE	Barasana-Eduria	bsn	Tucanoan	Colombia
Bare	Baré	bae	Arawak	Venezuela
Bari	Barí	mot	Chibchan	Venezuela, Colombia
Baure	Baure	brg	Arawak	Bolivia
Besiro	Bésɨro	cax	Macro-Ge	Bolivia
BolivianQ	Bolivian Quechua (Northern and Southern dialects)	qul, quh	Quechua	Bolivia
Bora	Bora	boa	Boran	Peru, Colombia
Kuna	Border Kuna	kvn	Chibchan	Colombia
Bororo	Borôro	bor	Macro-Ge	Brazil
Cabiyari	Cabiyarí	cbb	Arawak	Colombia
CajamarcaQ	Cajamarca Quechua	qvc	Quechua	Peru
Callawalla	Callawaya	caw	Mixed	Bolivia
Camsa	Camsá	kbh	Isolate	Colombia
Candoshi	Candoshi-Shapra	cbu	Isolate	Peru
Canela	Canela	ram	Macro-Ge	Brazil
Capanahua	Capanahua	kaq	Panoan	Peru
Caquinte	Caquinte	cot	Arawak	Peru
CaribFrG	Carib (French Guiana dialect)	car_frg	Carib	French Guiana
CaribESu	Carib (Suriname dialect)	car_esr	Carib	Suriname
CaribVen	Carib (Venezuela dialect)	car_ven	Carib	Brazil, Venezuela, Guyana
Carijona	Carijona	cbd	Carib	Colombia
Cashibo	Cashibo-Cacataibo	cbr	Panoan	Peru
Cashinahua	Cashinahua	cbs	Panoan	Brazil, Peru
Cavinenya	Cavineña	cav	Tacanan	Bolivia
Cayubaba	Cayubaba	cyb	Isolate	Bolivia
Chapalaa	Cha'palaa	cbi	Barbacoan	Ecuador
ChachapoyasQ	Chachapoyas Quechua	quk	Quechua	Peru
Chacobo	Chácobo	cao	Panoan	Bolivia
Chamacoco	Chamacoco	ceg	Zamucoan	Paraguay
Chamicuro	Chamicuro	ccc	Arawak	Peru
Chana	Chaná	qsi	Charruan	Uruguay
Chimila	Chimila	cbg	Chibchan	Colombia
Chipaya	Chipaya	cap	Uru-Chipaya	Bolivia
ChiriguanoC	Chiriguano (Chané dialect)	gui_chn	Tupí	Bolivia
ChiriguanoI	Chiriguano (Izoceño dialect)	gui_izo	Tupí	Bolivia
Cholon	Cholón	cht	Hibito-Cholon	Peru
Chorote	Chorote (Iyo'wujwa and Iyowa'ja dialects)	crq, crt	Mataco	Argentina, Bolivia, Paraguay
Chulupi	Chulupí	cag	Mataco	Paraguay, Argentina
Cofan	Cofán	con	Isolate	Ecuador, Colombia
Cuiba	Cuiba	cui	Guahiban	Venezuela, Colombia
Curripaco	Curripaco	kpc	Arawak	Venezuela, Brazil, Colombia
CuzcoCollaoQ	Cuzco-Collao Quechua	quz	Quechua	Peru
Damana	Damana	mbp	Chibchan	Colombia
Daw	Dâw	kwa	Nadahup	Brazil
Deni	Dení	dny	Arawan	Brazil
Desano	Desano	des	Tucanoan	Brazil, Colombia
EmberaBaudo	Emberá-Baudó	bdc	Choco	Colombia
EmberaCatio	Emberá-Catío	cto	Choco	Colombia
EmberaChami	Emberá-Chamí	cmi	Choco	Colombia
Emerillon	Emerillon	eme	Tupí	French Guiana
EnaweneNawe	Enawené-Nawé	unk	Arawak	Brazil
Epena	Epena	sja	Choco	Colombia, Ecuador
EseEja	Ese Eja (Peru)	ese_per	Tacanan	Peru
EseEjja	Ese Ejja (Bolivia)	ese_bol	Tacanan	Bolivia
FerrenafeQ	Ferreñafe Quechua	quf	Quechua	Peru
GaviaoJ	Gavião do Jiparaná	gvo	Tupí	Brazil
GaviaoP	Gavião do Pará	gvp	Macro-Ge	Brazil
Guahibo	Guahibo	guh	Guahiban	Colombia, Venezuela
Guaja	Guajá	gvj	Tupí	Brazil
Guajajara	Guajajára	gub	Tupí	Brazil
Guambiano	Guambiano	gum	Barbacoan	Colombia
Guarayu	Guarayu	gyr	Tupí	Bolivia
Guato	Guató	gta	Macro-Ge	Brazil
Guayabero	Guayabero	guo	Guahiban	Colombia
GununYajich	Günün Yajich	gny	Isolate	Argentina
Hixkaryana	Hixkaryána	hix	Carib	Brazil
Hoti	Hoti	yau	Isolate	Venezuela
HuallagaHQ	Huallaga Huánuco Quechua	qub	Quechua	Peru
Huambisa	Huambisa	hub	Jivaroan	Peru
HuaylasCQ	Huaylas-Conchucos Quechua	qxn, qwh	Quechua	Peru
HuitotoMinica	Huitoto, Minica	hto	Witotoan	Colombia
HuitotoMurui	Huitoto, Murui	huu	Witotoan	Colombia, Peru
Hupde	Hup	jup	Nadahup	Colombia, Brazil
Ignaciano	Ignaciano	ign	Arawak	Bolivia
Ika	Ika	arh	Chibchan	Colombia
Ikpeng	Ikpeng	txi	Carib	Brazil
ImbaburaQ	Imbabura Quichua	qvi	Quechua	Ecuador
Inyapari	Iñapari	inp	Arawak	Peru
IngaHQ	Inga (Highland dialect)	inb	Quechua	Colombia
IngaJQ	Inga (Jungle dialect)	inj	Quechua	Colombia
Ingariko	Ingarikó	ake	Carib	Brazil, Guiana
Iquito	Iquito	iqu	Zaparoan	Peru
Itonama	Itonama	ito	Isolate	Bolivia
Jabuti	Jabutí	jbt	Macro-Ge	Brazil
Jamamadi	Jamamadí	jaa_jmm	Arawan	Brazil
Japreria	Japreria	jru	Carib	Venezuela
Jaqaru	Jaqaru	jqr	Aymaran	Peru
Jarawara	Jarawara	jaa_jrw	Arawan	Brazil
JaujaHuancaQ	Jauja-Huanca Quechua	qxw	Quechua	Peru
Juma	Júma	jua	Tupí	Brazil
Juruna	Jurúna	jur	Tupí	Brazil
Kaapor	Kaapor	urb	Tupí	Brazil
Kadiweu	Kadiwéu	kbc	Guaicuru	Brazil
Kaingang	Kaingang	kgp	Macro-Ge	Brazil
KaingangSP	Kaingáng, São Paulo	zkp	Macro-Ge	Brazil
Kaiwa	Kaiwá	kgk	Tupí	Argentina, Brazil
Cacua	Kakua	cbv	Kakua-Nukak	Colombia
Kamayura	Kamayurá	kay	Tupí	Brazil
